x_desired,y_desired,z_desired,x_actual,y_actual,z_actual
0,0,2,0.0790598,-0.308376,0.222523
0,0,2,0.0831138,-0.322407,0.230608
0,0,2,0.0855463,-0.332091,0.23828
0,0,2,0.0877392,-0.344194,0.258743
0,0,2,0.0880079,-0.352337,0.287718
0,0,2,0.0858897,-0.357686,0.334254
0,0,2,0.0825189,-0.360162,0.374783
0,0,2,0.0761605,-0.359275,0.442107
0,0,2,0.06981,-0.354033,0.583808
0,0,2,0.0631775,-0.345306,0.658278
0,0,2,0.055659,-0.332191,0.745525
0,0,2,0.0497636,-0.319401,0.819865
0,0,2,0.0446815,-0.305746,0.895369
0,0,2,0.0405545,-0.291873,0.9719
0,0,2,0.0369277,-0.282569,1.06108
0,0,2,0.0347722,-0.27697,1.1375
0,0,2,0.0333492,-0.271743,1.21218
0,0,2,0.0324728,-0.266995,1.2846
0,0,2,0.0320104,-0.262748,1.3548
0,0,2,0.0318228,-0.258296,1.43375
0,0,2,0.0317933,-0.254607,1.49789
0,0,2,0.03177,-0.250207,1.56753
0,0,2,0.0317363,-0.246286,1.61412
0,0,2,0.0315155,-0.240424,1.6748
0,0,2,0.0311321,-0.235218,1.7226
0,0,2,0.0304371,-0.228984,1.77414
0,0,2,0.0297727,-0.224532,1.8079
0,0,2,0.0286191,-0.218376,1.85106
0,0,2,0.0274689,-0.213232,1.88424
0,0,2,0.026233,-0.208269,1.91406
0,0,2,0.0267255,-0.203276,1.9446
0,0,2,0.0275337,-0.199381,1.96734
0,0,2,0.0280879,-0.195723,1.98669
0,0,2,0.0284045,-0.191717,2.00533
0,0,2,0.0284076,-0.188503,2.01811
0,0,2,0.0281367,-0.185487,2.02816
0,0,2,0.0275372,-0.182631,2.03544
0,0,2,0.0266118,-0.179927,2.04049
0,0,2,0.0255858,-0.17663,2.04386
0,0,2,0.0241293,-0.172604,2.04536
0,0,2,0.0225834,-0.169324,2.04488
0,0,2,0.020895,-0.166163,2.04273
0,0,2,0.0191159,-0.163139,2.03894
0,0,2,0.0169658,-0.159749,2.03264
0,0,2,0.0151373,-0.156955,2.02616
0,0,2,0.0133473,-0.154266,2.01857
0,0,2,0.0119015,-0.150876,2.0104
0,0,2,0.0104418,-0.14672,1.99982
0,0,2,0.00925477,-0.143366,1.98989
0,0,2,0.00796297,-0.139704,1.97742
0,0,2,0.0070878,-0.137236,1.96821
0,0,2,0.00595915,-0.134014,1.95504
0,0,2,0.00503524,-0.131471,1.94346
0,0,2,0.00414285,-0.129112,1.93182
0,0,2,0.00346552,-0.12622,1.92058
0,0,2,0.00276422,-0.122717,1.90775
0,0,2,0.00212114,-0.119934,1.8972
0,0,2,0.00142422,-0.117301,1.88736
0,0,2,0.000546567,-0.114414,1.87698
0,0,2,-0.000253828,-0.112078,1.86922
0,0,2,-0.0010988,-0.109862,1.86237
0,0,2,-0.00211787,-0.107386,1.85567
0,0,2,-0.00206985,-0.104455,1.85145
0,0,2,-0.00183601,-0.100253,1.84657
0,0,2,-0.00176189,-0.0969435,1.84361
0,0,2,-0.00183967,-0.0933658,1.84164
0,0,2,-0.00200938,-0.0910183,1.84082
0,0,2,-0.00239269,-0.0880335,1.84079
0,0,2,-0.00286057,-0.0857429,1.84153
0,0,2,-0.0036326,-0.0834111,1.84333
0,0,2,-0.00448385,-0.0810526,1.84526
0,0,2,-0.00584562,-0.0778273,1.84836
0,0,2,-0.00707803,-0.0753786,1.85116
0,0,2,-0.00834063,-0.0731671,1.85421
0,0,2,-0.00959195,-0.0711557,1.85736
0,0,2,-0.0109697,-0.069029,1.86121
0,0,2,-0.0120386,-0.067395,1.86466
0,0,2,-0.0129849,-0.0658956,1.86834
0,0,2,-0.012936,-0.0624995,1.87315
0,0,2,-0.0125271,-0.059278,1.87759
0,0,2,-0.0120944,-0.0563333,1.8823
0,0,2,-0.0115751,-0.0532418,1.88817
0,0,2,-0.0111864,-0.0508715,1.89321
0,0,2,-0.0108921,-0.0487628,1.898
0,0,2,-0.010755,-0.0469398,1.90251
0,0,2,-0.0108266,-0.045387,1.90668
0,0,2,-0.0111276,-0.043553,1.91056
0,0,2,-0.0117282,-0.0414524,1.91496
0,0,2,-0.0124273,-0.0399334,1.91844
0,0,2,-0.0132301,-0.0386021,1.92194
0,0,2,-0.0142409,-0.0372439,1.92594
0,0,2,-0.0151039,-0.0361979,1.9294
0,0,2,-0.0159707,-0.0352554,1.93282
0,0,2,-0.0169562,-0.0342029,1.93659
0,0,2,-0.0174061,-0.0324515,1.93918
0,0,2,-0.0179079,-0.0298459,1.9423
0,0,2,-0.0182277,-0.0277281,1.94486
0,0,2,-0.0185014,-0.0254367,1.94754
0,0,2,-0.018638,-0.0239105,1.94933
0,0,2,-0.0187722,-0.0219809,1.9516
0,0,2,-0.0187722,-0.0219809,1.9516
-0.0299956,0.0580564,2.00264,-0.0188521,-0.0205571,1.95345
-0.0599912,0.116113,2.00529,-0.0189372,-0.0191347,1.95541
-0.0899867,0.174169,2.00793,-0.0197984,-0.0165485,1.95716
-0.119982,0.232225,2.01058,-0.0223305,-0.0116597,1.95958
-0.149978,0.290282,2.01322,-0.0262565,-0.00613994,1.9612
-0.179973,0.348338,2.01587,-0.0340125,0.00295113,1.96228
-0.209969,0.406395,2.01851,-0.0422475,0.0117136,1.96232
-0.239965,0.464451,2.02116,-0.0581308,0.027653,1.96125
-0.26996,0.522507,2.0238,-0.07596,0.0449041,1.95935
-0.299956,0.580564,2.02645,-0.0975943,0.0656046,1.95659
-0.329951,0.63862,2.02909,-0.116978,0.085192,1.95326
-0.359947,0.696676,2.03174,-0.141189,0.110427,1.94893
-0.389943,0.754733,2.03438,-0.165747,0.13629,1.94535
-0.419938,0.812789,2.03703,-0.193183,0.165882,1.94207
-0.449934,0.870845,2.03967,-0.222988,0.199022,1.93926
-0.479929,0.928902,2.04232,-0.26026,0.242042,1.93654
-0.509925,0.986958,2.04496,-0.293862,0.282496,1.93464
-0.53992,1.04501,2.0476,-0.334404,0.333785,1.93306
-0.569916,1.10307,2.05025,-0.363217,0.369684,1.93254
-0.599912,1.16113,2.05289,-0.403806,0.422813,1.93235
-0.629907,1.21918,2.05554,-0.438682,0.472042,1.93282
-0.659903,1.27724,2.05818,-0.473288,0.524528,1.93401
-0.689898,1.3353,2.06083,-0.507392,0.580158,1.93555
-0.719894,1.39335,2.06347,-0.546558,0.648879,1.93754
